checkingAccountStatus	durationMonths	creditHistory	purpose	creditAmount	savingsAccount	employmentSince	installmentRatePercent	personalStatusSex	otherDebtors	residenceSince	property	ageYears	otherInstallments	housing	existingCreditsThisBank	job	dependentsCount	telephone	foreignWorker	targetClass	creditHistory_A30	creditHistory_A31	creditHistory_A32	creditHistory_A33	creditHistory_A34	creditHistory_predicted
A11	s1_below_12	A34	A43	s1_below_1262	A65	A75	s3_3_up	A93	A101	s2_2_up	A121	s5_45_up	A143	A152	s2_2_up	A173	s1_below_2	A192	A201	0	0.0103342	0.00512189	0.0755425	0.0110723	0.897929	A34
A12	s5_30_up	A32	A43	s5_4720_up	A61	A73	s2_2_3	A92	A101	s2_2_up	A121	s1_below_26	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.00777526	0.0231218	0.862027	0.0499838	0.0570919	A32
A14	s2_12_15	A34	A46	s3_1906_2852	A61	A74	s2_2_3	A93	A101	s2_2_up	A121	s5_45_up	A143	A152	s1_below_2	A172	s2_2_up	A191	A201	0	0.0213022	0.0105579	0.67478	0.136943	0.156417	A32
A11	s5_30_up	A32	A42	s5_4720_up	A61	A74	s2_2_3	A93	A103	s2_2_up	A122	s5_45_up	A143	A153	s1_below_2	A173	s2_2_up	A191	A201	1	0.0185695	0.00920356	0.4751	0.0198959	0.477231	A34
A11	s4_24_30	A33	A40	s5_4720_up	A61	A73	s3_3_up	A93	A101	s2_2_up	A124	s5_45_up	A143	A153	s2_2_up	A173	s2_2_up	A191	A201	0	0.0378387	0.0187539	0.0460999	0.202707	0.6946	A34
A14	s5_30_up	A32	A46	s5_4720_up	A65	A73	s2_2_3	A93	A101	s2_2_up	A124	s3_30_36	A143	A153	s1_below_2	A172	s2_2_up	A192	A201	1	0.044293	0.0219528	0.323781	0.284741	0.325233	A34
A14	s4_24_30	A32	A42	s3_1906_2852	A63	A75	s3_3_up	A93	A101	s2_2_up	A122	s5_45_up	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.0185695	0.00920356	0.4751	0.0198959	0.477231	A34
A12	s5_30_up	A32	A41	s5_4720_up	A61	A73	s2_2_3	A93	A101	s2_2_up	A123	s3_30_36	A143	A151	s1_below_2	A174	s1_below_2	A192	A201	1	0.0129196	0.0064033	0.802757	0.0830546	0.0948656	A32
A14	s2_12_15	A32	A43	s4_2852_4720	A64	A74	s2_2_3	A91	A101	s2_2_up	A121	s5_45_up	A143	A152	s1_below_2	A172	s1_below_2	A191	A201	1	0.058165	0.0288281	0.779505	0.0623197	0.071182	A32
A12	s5_30_up	A34	A40	s5_4720_up	A61	A71	s3_3_up	A94	A101	s2_2_up	A123	s2_26_30	A143	A152	s2_2_up	A174	s1_below_2	A191	A201	0	0.0281083	0.0139312	0.205471	0.030116	0.722374	A34
A12	s2_12_15	A32	A40	s2_1262_1906	A61	A72	s3_3_up	A92	A101	s1_below_2	A123	s1_below_26	A143	A151	s1_below_2	A173	s1_below_2	A191	A201	1	0.00872153	0.00432262	0.966938	0.0093445	0.0106734	A32
A11	s5_30_up	A32	A49	s4_2852_4720	A61	A72	s3_3_up	A92	A101	s2_2_up	A122	s1_below_26	A143	A151	s1_below_2	A173	s1_below_2	A191	A201	1	0.0340417	0.016872	0.870953	0.0364732	0.04166	A32
A12	s2_12_15	A32	A43	s2_1262_1906	A61	A73	s1_below_2	A92	A101	s1_below_2	A123	s1_below_26	A143	A152	s1_below_2	A173	s1_below_2	A192	A201	1	0.00777526	0.0231218	0.862027	0.0499838	0.0570919	A32
A11	s4_24_30	A34	A40	s1_below_1262	A61	A75	s3_3_up	A93	A101	s2_2_up	A123	s5_45_up	A143	A152	s2_2_up	A172	s1_below_2	A191	A201	0	0.0378387	0.0187539	0.0460999	0.202707	0.6946	A34
A11	s3_15_24	A32	A40	s2_1262_1906	A61	A73	s2_2_3	A92	A101	s2_2_up	A123	s2_26_30	A143	A151	s1_below_2	A173	s1_below_2	A191	A201	1	0.0209861	0.0104013	0.920445	0.0224851	0.0256826	A32
A11	s4_24_30	A32	A43	s2_1262_1906	A62	A73	s3_3_up	A92	A101	s2_2_up	A123	s3_30_36	A143	A152	s1_below_2	A172	s1_below_2	A191	A201	1	0.01669	0.00827204	0.630353	0.0178822	0.326803	A32
A14	s4_24_30	A34	A43	s3_1906_2852	A65	A75	s3_3_up	A93	A101	s2_2_up	A122	s5_45_up	A143	A152	s2_2_up	A173	s1_below_2	A191	A201	0	0.0103342	0.00512189	0.0755425	0.0110723	0.897929	A34
A11	s5_30_up	A30	A49	s5_4720_up	A65	A72	s2_2_3	A93	A101	s2_2_up	A123	s1_below_26	A141	A152	s2_2_up	A173	s1_below_2	A191	A201	0	0.494427	0.161446	0.0373153	0.269688	0.0371242	A30
A12	s4_24_30	A32	A41	s5_4720_up	A61	A75	s3_3_up	A92	A101	s2_2_up	A124	s4_36_45	A143	A153	s1_below_2	A174	s1_below_2	A192	A201	1	0.058165	0.0288281	0.779505	0.0623197	0.071182	A32
A14	s4_24_30	A32	A43	s4_2852_4720	A63	A75	s3_3_up	A93	A101	s2_2_up	A123	s3_30_36	A143	A152	s1_below_2	A173	s2_2_up	A192	A201	1	0.00858887	0.0255413	0.84759	0.0552142	0.063066	A32
A14	s1_below_12	A34	A40	s3_1906_2852	A61	A73	s3_3_up	A93	A101	s2_2_up	A123	s5_45_up	A143	A152	s2_2_up	A173	s1_below_2	A192	A201	0	0.0378387	0.0187539	0.0460999	0.202707	0.6946	A34
A11	s1_below_12	A32	A43	s3_1906_2852	A63	A73	s2_2_3	A93	A101	s2_2_up	A121	s4_36_45	A143	A151	s1_below_2	A173	s2_2_up	A191	A201	1	0.00746131	0.0221881	0.736316	0.0879368	0.146098	A32
A11	s1_below_12	A34	A40	s3_1906_2852	A61	A72	s1_below_2	A93	A101	s2_2_up	A121	s5_45_up	A143	A151	s2_2_up	A172	s2_2_up	A191	A202	0	0.0378387	0.0187539	0.0460999	0.202707	0.6946	A34
A12	s2_12_15	A34	A41	s2_1262_1906	A62	A72	s3_3_up	A93	A101	s2_2_up	A122	s4_36_45	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	0	0.101951	0.00842163	0.434736	0.0182056	0.436686	A34
A14	s1_below_12	A34	A42	s3_1906_2852	A65	A73	s2_2_3	A94	A101	s1_below_2	A123	s2_26_30	A143	A152	s2_2_up	A173	s1_below_2	A191	A202	0	0.0579807	0.0287368	0.0706396	0.0621222	0.780521	A34
A11	s1_below_12	A32	A42	s2_1262_1906	A61	A73	s1_below_2	A93	A101	s2_2_up	A121	s4_36_45	A141	A152	s1_below_2	A172	s1_below_2	A192	A201	1	0.0229281	0.269522	0.581421	0.0125062	0.113623	A32
A14	s1_below_12	A30	A43	s1_below_1262	A61	A75	s3_3_up	A94	A101	s2_2_up	A123	s4_36_45	A143	A152	s1_below_2	A172	s1_below_2	A191	A201	0	0.212133	0.0175232	0.689195	0.0378809	0.0432679	A32
A13	s2_12_15	A31	A43	s1_below_1262	A64	A73	s3_3_up	A92	A101	s2_2_up	A121	s4_36_45	A143	A151	s2_2_up	A173	s1_below_2	A191	A201	0	0.0387343	0.115187	0.283147	0.0415011	0.521431	A34
A12	s1_below_12	A32	A43	s3_1906_2852	A61	A73	s3_3_up	A93	A103	s2_2_up	A121	s3_30_36	A143	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.00858887	0.0255413	0.84759	0.0552142	0.063066	A32
A11	s5_30_up	A33	A49	s5_4720_up	A61	A75	s3_3_up	A93	A101	s2_2_up	A124	s5_45_up	A143	A152	s2_2_up	A173	s1_below_2	A192	A201	0	0.279616	0.0230976	0.340665	0.299589	0.0570321	A32
A12	s3_15_24	A32	A49	s3_1906_2852	A64	A72	s3_3_up	A94	A101	s2_2_up	A121	s4_36_45	A141	A152	s1_below_2	A173	s1_below_2	A192	A201	1	0.149877	0.293637	0.407213	0.0817512	0.0675214	A32
A11	s4_24_30	A32	A42	s4_2852_4720	A61	A73	s2_2_3	A93	A101	s2_2_up	A123	s2_26_30	A142	A152	s1_below_2	A173	s1_below_2	A191	A201	1	0.0152061	0.297915	0.423474	0.207355	0.0560496	A32
A12	s3_15_24	A32	A40	s5_4720_up	A62	A73	s2_2_3	A93	A101	s2_2_up	A123	s3_30_36	A143	A152	s2_2_up	A173	s1_below_2	A192	A201	1	0.0888485	0.0440357	0.108247	0.0158658	0.743003	A34
A14	s2_12_15	A34	A49	s2_1262_1906	A65	A75	s3_3_up	A93	A101	s2_2_up	A124	s5_45_up	A143	A151	s1_below_2	A172	s1_below_2	A191	A201	0	0.364389	0.0602002	0.147982	0.130139	0.297291	A30
